SKU*,Description
98R,"<div> <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC02919.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><span class=""a-list-item""><strong>COMPATIBILITY</strong> - Walking adapters 2 wings included if fit this on road bike shoes which is designed for walking also to protect the sole. The cleats is suitable for Shimano SPD SM-SH51, Look X-Track Series Pedal, fits various biking shoes , Single release cleats ensures release at on direction only, great for advance riders. </span></li> 	<li><span class=""a-list-item""><strong>EQUIPMENT</strong>- 2 walking adapters , 2 cleats, 2 cleat washers, and 4 cleat mounting bolts and with optional 2-hole cleat nuts and metal plates , For the shoes without these parts or damaged replacement, please install inside the shoes. </span></li> 	<li><span class=""a-list-item""><strong>SINGLE RELEASE </strong>- Single direction release ONLY. Release your cleats by twisting heels in one direction.4° of float. GREAT FOR ADVANCED RIDERS </span></li> 	<li><span class=""a-list-item""><strong>MATERIAL</strong> - Chrome molybdenum steel body helpful for your bike activity, comfortable and durable. Pair of 50g </span></li> 	<li><span class=""a-list-item"">I<strong>NDOOR and OUTDOOR CYCLING</strong> - Improving your indoor and outdoor cycle performance. Mountain biking &amp; indoor cycling with clip-less pedals are suggested. </span></li> </ul> </div>  <p>&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/5tkCzT7OpdQ"" width=""560""></iframe></p> "
98RA,"<div> <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/DSC02919.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><span class=""a-list-item""><strong>COMPATIBILITY</strong> - Walking adapters 2 wings included if fit this on road bike shoes which is designed for walking also to protect the sole. The cleats is suitable for Shimano SPD SM-SH51, Look X-Track Series Pedal, fits various biking shoes , Single release cleats ensures release at on direction only, great for advance riders. </span></li> 	<li><span class=""a-list-item""><strong>EQUIPMENT</strong>- 2 walking adapters , 2 cleats, 2 cleat washers, and 4 cleat mounting bolts and with optional 2-hole cleat nuts and metal plates , For the shoes without these parts or damaged replacement, please install inside the shoes. </span></li> 	<li><span class=""a-list-item""><strong>SINGLE RELEASE </strong>- Single direction release ONLY. Release your cleats by twisting heels in one direction.4° of float. GREAT FOR ADVANCED RIDERS </span></li> 	<li><span class=""a-list-item""><strong>MATERIAL</strong> - Chrome molybdenum steel body helpful for your bike activity, comfortable and durable. Pair of 50g </span></li> 	<li><span class=""a-list-item"">I<strong>NDOOR and OUTDOOR CYCLING</strong> - Improving your indoor and outdoor cycle performance. Mountain biking &amp; indoor cycling with clip-less pedals are suggested. </span></li> </ul> </div>  <p>&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/5tkCzT7OpdQ"" width=""560""></iframe></p> "
AD-MR5,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/AD-MR5.jpg"" style=""width: 1600px; height: 990px;"" /></p>  <div> <div> <ul> 	<li>Material: Alloy CNC with silver rivet</li> 	<li>SPD SL, Keo Look Cleat, Shimano SPD compatible</li> 	<li>MTB and Road bicycle clipless pedal compatible</li> 	<li>Include: 2 adaptors</li> 	<li>Weight: 250g</li> </ul> </div> </div>  <p>&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/cwK4Ml-6HPY?rel=0"" width=""560""></iframe></p> "
B09M-003,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/B09M-003BLK.jpg"" style=""width: 1600px; height: 990px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Compatible with thread-less mountain bike frame with head tube size 1-1/8"".</li> 	<li><strong>SEALED BEARINGS</strong>: The cup bearings are sealed. It ensures very smooth performance.</li> 	<li><strong>PRECISELY MACHINED</strong>: All parts are precisely machined to match the frame head tube. We recommend using press tool to install the cups, and crown race setter to install the crown race, star nut tool for star nut setting.</li> 	<li><strong>COMPLETE SOLUTION</strong>: The package includes all the items in the pictures. Great for replacing or upgrading current headset.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt=""Picture"" src=""https://www.cyclingdeal.com.au/assets/images/white(1).jpg"" style=""width: 249px; height: 1200px; "" /><img alt=""Picture"" src=""https://www.cyclingdeal.com.au/assets/images/blk(1).jpg"" style=""width: 253px; height: 1200px; "" /></p> "
B09M-003BLK,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/B09M-003BLK.jpg"" style=""width: 1600px; height: 990px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Compatible with thread-less mountain bike frame with head tube size 1-1/8"".</li> 	<li><strong>SEALED BEARINGS</strong>: The cup bearings are sealed. It ensures very smooth performance.</li> 	<li><strong>PRECISELY MACHINED</strong>: All parts are precisely machined to match the frame head tube. We recommend using press tool to install the cups, and crown race setter to install the crown race, star nut tool for star nut setting.</li> 	<li><strong>COMPLETE SOLUTION</strong>: The package includes all the items in the pictures. Great for replacing or upgrading current headset.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt=""Picture"" src=""https://www.cyclingdeal.com.au/assets/images/white(1).jpg"" style=""width: 249px; height: 1200px; "" /><img alt=""Picture"" src=""https://www.cyclingdeal.com.au/assets/images/blk(1).jpg"" style=""width: 253px; height: 1200px; "" /></p> "
B09M-003w,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/B09M-003W.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Compatible with thread-less mountain bike frame with head tube size 1-1/8"".</li> 	<li><strong>SEALED BEARINGS</strong>: The cup bearings are sealed. It ensures very smooth performance.</li> 	<li><strong>PRECISELY MACHINED</strong>: All parts are precisely machined to match the frame head tube. We recommend using press tool to install the cups, and crown race setter to install the crown race, star nut tool for star nut setting.</li> 	<li><strong>COMPLETE SOLUTION</strong>: The package includes all the items in the pictures. Great for replacing or upgrading current headset.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 5-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><img alt=""Picture"" src=""https://www.cyclingdeal.com.au/assets/images/white(1).jpg"" style=""width: 249px; height: 1200px; "" /><img alt=""Picture"" src=""https://www.cyclingdeal.com.au/assets/images/blk(1).jpg"" style=""width: 253px; height: 1200px; "" /></p> "
BBS-001,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/BBS-001.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>SAFE</strong>: The bike baby seat is very safe to use. Special seat belt buckle could not be released by kids accidentally. WARNINGS: please wear a kid helmet! (included in the deal). Meet USA &amp; Australia safety standard.</li> 	<li><strong>COMPATIBILITY</strong>: Compatible with all frame sizes 26"" 27.5"" MTB and 700c and 28"" 29"" Hybrid Road Bikes with Round Tubes. NOT for dual suspension bikes.Assembly method: Clamp-on Seat Tube (28mm to 40mm).</li> 	<li><strong>KIDS AGE</strong>: Designed and tested for children from 9 months to 4 years old, up to 40 lbs/18 kg.</li> 	<li><strong>EASY TO USE</strong>: All Accessories Included. Easy to Remove without Tools. Please watch the video in the listing. Weight: 3kg or 6.6 lbs.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty!</li> </ul> "
BBS-005,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/BBS-005.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>SAFE</strong>: The bike baby seat is very safe to use. Special seat belt buckle could not be released by kids accidentally. <em><u><strong>WARNINGS</strong></u></em>: please wear a kid helmet! (NOT included in the deal). Meet Australia &amp; USA safety standard.</li> 	<li><strong>COMPATIBILITY</strong>: Compatible with all frame sizes 26"" 27.5"" MTB and 700c and 28"" 29"" Hybrid Road Bikes with Round Tubes. NOT for dual suspension bikes.Assembly method: Clamp-on Seat Tube (28mm to 40mm).</li> 	<li><strong>KIDS AGE</strong>: Designed and tested for children from 9 months to 4 years old, up to 40 lbs/18 kg.</li> 	<li><strong>EASY TO USE</strong>: All Accessories Included. Easy to Remove without Tools. Please watch the video in the listing. Weight: 3kg or 6.6 lbs.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide a life time warranty!</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/s7ZxbYecdbA?rel=0"" width=""560""></iframe></p> "
BQ-10,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/large-BQ-10.jpg"" style=""width: 969px; height: 600px;"" /></p>  <ul> 	<li><strong>SAFE</strong>: The bike baby seat is very safe to use. Special seat belt buckle could not be released by kids accidentally. WARNINGS: please wear a kid helmet! (NOT included in the deal).</li> 	<li><strong>COMPATIBILITY</strong>: Universal quick release bracket allows seat to mount/dismount from bike in seconds and is compatible with most bike frames (27.2-38mm diameter round frames, NOT for dual suspension bikes,NOT for beach cruisers,NOT for Front derailleur pull from the Top, May not for small size 29"" bike frame, the rack possibly touch the tire).</li> 	<li><strong>FRONT SEAT</strong>: Someone might not feel that comfortable when this baby seat sitting at front due to the riding position also the geometry of some of the bikes which you can imagine. Therefore we recommend that you have a good think about this point before make a purchase.</li> 	<li><strong>EASY TO USE</strong>: Designed and tested for children from 9 months to 3 years old, up to 33 lbs/15 kg. All Accessories Included. Easy to Remove without Tools. Please watch the video in the listing.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty!&nbsp;</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/GDqFuPQV5TU?rel=0"" width=""560""></iframe></p> "
BQ-9-2,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/BQ-9-2.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Please follow the instruction video in the listing strictly, Compatible with all frame sizes 26"" MTB and 700c and 27"" 29"" Hybrid Road Bikes with Rack Holes.</li> 	<li><strong>WARNING</strong>: Please wear a bike helmet. (NOT included)</li> 	<li><strong>SAFE</strong>: Meet USA &amp; Australia Safety Standard With 25kg load on the rack, swinging test 30,000 times Package: Baby seat and All accessories.</li> 	<li><strong>KIDS AGE &amp; WEIGHT</strong>: Assembly Method: Bike Rack Assembling, Designed and tested for children from 9 months to 4 years old, up to 40 lbs/18 kg.</li> 	<li><strong>EASY TO USE</strong>: All Accessories Included. Easy to remove the baby seat without Tools. Weight: 3kg or 6.6 lbs.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a life time warranty!</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/tUHl8uCtudY?rel=0"" width=""560""></iframe></p> "
